scenario,jour,minute,power_W
Foyer_Modeste,1,60,0.0
Foyer_Modeste,1,61,0.0
Foyer_Modeste,1,62,0.0
Foyer_Modeste,1,63,0.0
Foyer_Modeste,1,64,0.0
Foyer_Modeste,1,65,0.0
Foyer_Modeste,1,66,0.0
Foyer_Modeste,1,67,0.0
Foyer_Modeste,1,68,0.0
Foyer_Modeste,1,69,0.0
Foyer_Modeste,1,70,0.0
Foyer_Modeste,1,71,0.001
Foyer_Modeste,1,72,0.001
Foyer_Modeste,1,73,0.001
Foyer_Modeste,1,74,0.001
Foyer_Modeste,1,75,0.001
Foyer_Modeste,1,76,0.001
Foyer_Modeste,1,77,0.001
Foyer_Modeste,1,78,0.001
Foyer_Modeste,1,79,0.001
Foyer_Modeste,1,80,0.001
Foyer_Modeste,1,81,0.001
Foyer_Modeste,1,82,0.001
Foyer_Modeste,1,83,0.001
Foyer_Modeste,1,84,0.001
Foyer_Modeste,1,85,0.001
Foyer_Modeste,1,86,0.001
Foyer_Modeste,1,87,0.001
Foyer_Modeste,1,88,0.001
Foyer_Modeste,1,89,0.001
Foyer_Modeste,1,90,0.001
Foyer_Modeste,1,91,0.001
Foyer_Modeste,1,92,0.001
Foyer_Modeste,1,93,0.001
Foyer_Modeste,1,94,0.001
Foyer_Modeste,1,95,0.001
Foyer_Modeste,1,96,0.001
Foyer_Modeste,1,97,0.001
Foyer_Modeste,1,98,0.001
Foyer_Modeste,1,99,0.001
Foyer_Modeste,1,100,0.001
Foyer_Modeste,1,101,0.001
Foyer_Modeste,1,102,0.001
Foyer_Modeste,1,103,0.001
Foyer_Modeste,1,104,0.001
Foyer_Modeste,1,105,0.001
Foyer_Modeste,1,106,0.001
Foyer_Modeste,1,107,0.001
Foyer_Modeste,1,108,0.001
Foyer_Modeste,1,109,0.001
Foyer_Modeste,1,110,0.001
Foyer_Modeste,1,111,0.001
Foyer_Modeste,1,112,0.001
Foyer_Modeste,1,113,0.001
Foyer_Modeste,1,114,0.001
Foyer_Modeste,1,115,0.001
Foyer_Modeste,1,116,0.001
Foyer_Modeste,1,117,0.001
Foyer_Modeste,1,118,0.001
Foyer_Modeste,1,119,0.001
Foyer_Modeste,1,120,0.001
Foyer_Modeste,1,121,0.001
Foyer_Modeste,1,122,0.001
Foyer_Modeste,1,123,0.001
Foyer_Modeste,1,124,0.001
Foyer_Modeste,1,125,0.001
Foyer_Modeste,1,126,0.001
Foyer_Modeste,1,127,0.001
Foyer_Modeste,1,128,0.001
Foyer_Modeste,1,129,0.001
Foyer_Modeste,1,130,0.001
Foyer_Modeste,1,131,0.001
Foyer_Modeste,1,132,0.001
Foyer_Modeste,1,133,0.001
Foyer_Modeste,1,134,0.001
Foyer_Modeste,1,135,0.001
Foyer_Modeste,1,136,0.001
Foyer_Modeste,1,137,0.001
Foyer_Modeste,1,138,0.001
Foyer_Modeste,1,139,0.001
Foyer_Modeste,1,140,0.001
Foyer_Modeste,1,141,0.001
Foyer_Modeste,1,142,0.001
Foyer_Modeste,1,143,0.001
Foyer_Modeste,1,144,0.001
Foyer_Modeste,1,145,0.001
Foyer_Modeste,1,146,0.001
Foyer_Modeste,1,147,0.001
Foyer_Modeste,1,148,0.001
Foyer_Modeste,1,149,0.001
Foyer_Modeste,1,150,0.001
Foyer_Modeste,1,151,0.001
Foyer_Modeste,1,152,0.001
Foyer_Modeste,1,153,0.001
Foyer_Modeste,1,154,0.001
Foyer_Modeste,1,155,0.001
Foyer_Modeste,1,156,0.001
Foyer_Modeste,1,157,0.001
Foyer_Modeste,1,158,0.001
Foyer_Modeste,1,159,0.001
Foyer_Modeste,1,160,0.001
Foyer_Modeste,1,161,0.001
Foyer_Modeste,1,162,0.001
Foyer_Modeste,1,163,0.001
Foyer_Modeste,1,164,0.001
Foyer_Modeste,1,165,0.001
Foyer_Modeste,1,166,0.001
Foyer_Modeste,1,167,0.001
Foyer_Modeste,1,168,0.001
Foyer_Modeste,1,169,0.001
Foyer_Modeste,1,170,0.001
Foyer_Modeste,1,171,0.001
Foyer_Modeste,1,172,0.001
Foyer_Modeste,1,173,0.001
Foyer_Modeste,1,174,0.001
Foyer_Modeste,1,175,0.001
Foyer_Modeste,1,176,0.001
Foyer_Modeste,1,177,0.001
Foyer_Modeste,1,178,0.001
Foyer_Modeste,1,179,0.001
Foyer_Modeste,1,180,0.001
Foyer_Modeste,1,181,0.001
Foyer_Modeste,1,182,0.001
Foyer_Modeste,1,183,0.001
Foyer_Modeste,1,184,0.001
Foyer_Modeste,1,185,0.001
Foyer_Modeste,1,186,0.001
Foyer_Modeste,1,187,0.001
Foyer_Modeste,1,188,0.001
Foyer_Modeste,1,189,0.001
Foyer_Modeste,1,190,0.001
Foyer_Modeste,1,191,0.001
Foyer_Modeste,1,192,0.001
Foyer_Modeste,1,193,0.001
Foyer_Modeste,1,194,0.001
Foyer_Modeste,1,195,0.001
Foyer_Modeste,1,196,0.001
Foyer_Modeste,1,197,0.001
Foyer_Modeste,1,198,0.001
Foyer_Modeste,1,199,0.001
Foyer_Modeste,1,200,0.001
Foyer_Modeste,1,201,0.001
Foyer_Modeste,1,202,0.001
Foyer_Modeste,1,203,0.001
Foyer_Modeste,1,204,0.001
Foyer_Modeste,1,205,0.001
Foyer_Modeste,1,206,0.001
Foyer_Modeste,1,207,0.001
Foyer_Modeste,1,208,0.001
Foyer_Modeste,1,209,0.001
Foyer_Modeste,1,210,0.001
Foyer_Modeste,1,211,0.001
Foyer_Modeste,1,212,0.001
Foyer_Modeste,1,213,0.001
Foyer_Modeste,1,214,0.001
Foyer_Modeste,1,215,0.001
Foyer_Modeste,1,216,0.001
Foyer_Modeste,1,217,0.001
Foyer_Modeste,1,218,0.001
Foyer_Modeste,1,219,0.001
Foyer_Modeste,1,220,0.001
Foyer_Modeste,1,221,0.001
Foyer_Modeste,1,222,0.001
Foyer_Modeste,1,223,0.001
Foyer_Modeste,1,224,0.001
Foyer_Modeste,1,225,0.001
Foyer_Modeste,1,226,0.001
Foyer_Modeste,1,227,0.001
Foyer_Modeste,1,228,0.001
Foyer_Modeste,1,229,0.001
Foyer_Modeste,1,230,0.001
Foyer_Modeste,1,231,0.001
Foyer_Modeste,1,232,0.001
Foyer_Modeste,1,233,0.001
Foyer_Modeste,1,234,0.001
Foyer_Modeste,1,235,0.001
Foyer_Modeste,1,236,0.001
Foyer_Modeste,1,237,0.001
Foyer_Modeste,1,238,0.001
Foyer_Modeste,1,239,0.001
Foyer_Modeste,1,240,0.001
Foyer_Modeste,1,241,0.001
Foyer_Modeste,1,242,0.001
Foyer_Modeste,1,243,0.001
Foyer_Modeste,1,244,0.001
Foyer_Modeste,1,245,0.001
Foyer_Modeste,1,246,0.001
Foyer_Modeste,1,247,0.001
Foyer_Modeste,1,248,0.001
Foyer_Modeste,1,249,0.001
Foyer_Modeste,1,250,0.001
Foyer_Modeste,1,251,0.001
Foyer_Modeste,1,252,0.001
Foyer_Modeste,1,253,0.001
Foyer_Modeste,1,254,0.001
Foyer_Modeste,1,255,0.001
Foyer_Modeste,1,256,0.001
Foyer_Modeste,1,257,0.001
Foyer_Modeste,1,258,0.001
Foyer_Modeste,1,259,0.001
Foyer_Modeste,1,260,0.001
Foyer_Modeste,1,261,0.001
Foyer_Modeste,1,262,0.001
Foyer_Modeste,1,263,0.001
Foyer_Modeste,1,264,0.001
Foyer_Modeste,1,265,0.001
Foyer_Modeste,1,266,0.001
Foyer_Modeste,1,267,0.001
Foyer_Modeste,1,268,0.001
Foyer_Modeste,1,269,0.001
Foyer_Modeste,1,270,0.001
Foyer_Modeste,1,271,0.001
Foyer_Modeste,1,272,0.001
Foyer_Modeste,1,273,0.001
Foyer_Modeste,1,274,0.001
Foyer_Modeste,1,275,0.001
Foyer_Modeste,1,276,0.001
Foyer_Modeste,1,277,0.001
Foyer_Modeste,1,278,0.001
Foyer_Modeste,1,279,0.001
Foyer_Modeste,1,280,0.001
Foyer_Modeste,1,281,0.001
Foyer_Modeste,1,282,0.001
Foyer_Modeste,1,283,0.001
Foyer_Modeste,1,284,0.001
Foyer_Modeste,1,285,0.001
Foyer_Modeste,1,286,0.001
Foyer_Modeste,1,287,0.001
Foyer_Modeste,1,288,0.001
Foyer_Modeste,1,289,0.001
Foyer_Modeste,1,290,0.001
Foyer_Modeste,1,291,0.001
Foyer_Modeste,1,292,0.001
Foyer_Modeste,1,293,0.001
Foyer_Modeste,1,294,0.001
Foyer_Modeste,1,295,0.001
Foyer_Modeste,1,296,0.001
Foyer_Modeste,1,297,0.001
Foyer_Modeste,1,298,0.001
Foyer_Modeste,1,299,0.001
Foyer_Modeste,1,300,0.001
Foyer_Modeste,1,301,0.001
Foyer_Modeste,1,302,0.001
Foyer_Modeste,1,303,0.001
Foyer_Modeste,1,304,0.001
Foyer_Modeste,1,305,0.001
Foyer_Modeste,1,306,0.001
Foyer_Modeste,1,307,0.001
Foyer_Modeste,1,308,0.001
Foyer_Modeste,1,309,0.001
Foyer_Modeste,1,310,0.001
Foyer_Modeste,1,311,0.001
Foyer_Modeste,1,312,0.001
Foyer_Modeste,1,313,0.001
Foyer_Modeste,1,314,0.001
Foyer_Modeste,1,315,0.001
Foyer_Modeste,1,316,0.001
Foyer_Modeste,1,317,0.001
Foyer_Modeste,1,318,0.001
Foyer_Modeste,1,319,0.001
Foyer_Modeste,1,320,0.001
Foyer_Modeste,1,321,0.001
Foyer_Modeste,1,322,0.001
Foyer_Modeste,1,323,0.001
Foyer_Modeste,1,324,0.001
Foyer_Modeste,1,325,0.001
Foyer_Modeste,1,326,0.001
Foyer_Modeste,1,327,0.001
Foyer_Modeste,1,328,0.001
Foyer_Modeste,1,329,0.001
Foyer_Modeste,1,330,0.001
Foyer_Modeste,1,331,0.001
Foyer_Modeste,1,332,0.001
Foyer_Modeste,1,333,0.001
Foyer_Modeste,1,334,0.001
Foyer_Modeste,1,335,0.001
Foyer_Modeste,1,336,0.001
Foyer_Modeste,1,337,0.001
Foyer_Modeste,1,338,0.001
Foyer_Modeste,1,339,0.001
Foyer_Modeste,1,340,0.001
Foyer_Modeste,1,341,0.001
Foyer_Modeste,1,342,0.001
Foyer_Modeste,1,343,0.001
Foyer_Modeste,1,344,0.001
Foyer_Modeste,1,345,0.001
Foyer_Modeste,1,346,0.001
Foyer_Modeste,1,347,0.001
Foyer_Modeste,1,348,0.001
Foyer_Modeste,1,349,0.001
Foyer_Modeste,1,350,0.001
Foyer_Modeste,1,351,0.001
Foyer_Modeste,1,352,0.001
Foyer_Modeste,1,353,0.001
Foyer_Modeste,1,354,0.001
Foyer_Modeste,1,355,0.001
Foyer_Modeste,1,356,0.001
Foyer_Modeste,1,357,0.001
Foyer_Modeste,1,358,0.001
Foyer_Modeste,1,359,0.001
Foyer_Modeste,1,360,0.001
Foyer_Modeste,1,361,0.001
Foyer_Modeste,1,362,0.001
Foyer_Modeste,1,363,0.001
Foyer_Modeste,1,364,0.001
Foyer_Modeste,1,365,0.001
Foyer_Modeste,1,366,0.001
Foyer_Modeste,1,367,0.001
Foyer_Modeste,1,368,0.001
Foyer_Modeste,1,369,0.001
Foyer_Modeste,1,370,0.001
Foyer_Modeste,1,371,0.001
