scenario,jour,bloc_30min,power_W,Wh_bloc
Foyer_Aise,3,25,178.3148806406829,89.15744032034145
Foyer_Aise,3,26,198.6327478364177,99.31637391820885
Foyer_Aise,3,27,194.79008069717528,97.39504034858764
Foyer_Aise,3,28,194.79008069717528,97.39504034858764
Foyer_Aise,3,29,144.32559409801937,72.16279704900968
Foyer_Aise,3,30,53.97641435125765,26.988207175628826
Foyer_Aise,3,31,47.54996367109774,23.77498183554887
Foyer_Aise,3,32,75.56288852125742,37.78144426062871
Foyer_Aise,3,33,75.12056043488651,37.56028021744326
Foyer_Aise,3,34,73.97781424908418,36.98890712454209
Foyer_Aise,3,35,103.6791692130171,51.83958460650855
Foyer_Aise,3,36,225.69456380622938,112.84728190311469
Foyer_Aise,3,37,277.5221418870813,138.76107094354066
Foyer_Aise,3,38,226.99193807005702,113.49596903502851
Foyer_Aise,3,39,208.73211403835177,104.36605701917588
Foyer_Aise,3,40,127.1429683218079,63.57148416090395
Foyer_Aise,3,41,629.1629182170545,314.58145910852727
Foyer_Aise,3,42,987.0619263140266,493.5309631570133
Foyer_Aise,3,43,1094.1029936834618,547.0514968417309
Foyer_Aise,3,44,915.8012030877405,457.90060154387027
Foyer_Aise,3,45,1153.589155860901,576.7945779304505
Foyer_Aise,3,46,1093.0255276801338,546.5127638400669
Foyer_Aise,3,47,694.9503689089555,347.47518445447776
Foyer_Aise,4,0,0.0,0.0
Foyer_Aise,4,1,0.0,0.0
Foyer_Aise,4,2,0.0,0.0
Foyer_Aise,4,3,0.0008333333333333334,0.0004166666666666667
Foyer_Aise,4,4,0.001,0.0005
Foyer_Aise,4,5,0.001,0.0005
Foyer_Aise,4,6,0.001,0.0005
Foyer_Aise,4,7,0.001,0.0005
Foyer_Aise,4,8,0.001,0.0005
Foyer_Aise,4,9,0.001,0.0005
Foyer_Aise,4,10,0.0011333333333333334,0.0005666666666666667
Foyer_Aise,4,11,40.05186266258324,20.02593133129162
Foyer_Aise,4,12,725.145558998143,362.5727794990715
Foyer_Aise,4,13,947.077907779984,473.538953889992
Foyer_Aise,4,14,1725.0703480356513,862.5351740178256
Foyer_Aise,4,15,1520.71218074303,760.356090371515
Foyer_Aise,4,16,329.98187634512635,164.99093817256318
Foyer_Aise,4,17,366.6359195163984,183.3179597581992
Foyer_Aise,4,18,0.002,0.001
Foyer_Aise,4,19,0.0011666666666666668,0.0005833333333333334
Foyer_Aise,4,20,0.001,0.0005
Foyer_Aise,4,21,0.001,0.0005
Foyer_Aise,4,22,39.465999414089225,19.732999707044613
Foyer_Aise,4,23,36.99061616585735,18.495308082928673
Foyer_Aise,4,24,41.18659612595831,20.593298062979155
Foyer_Aise,4,25,102.4049577887552,51.2024788943776
Foyer_Aise,4,26,191.44612148465086,95.72306074232543
Foyer_Aise,4,27,202.40709051227563,101.20354525613782
Foyer_Aise,4,28,197.52409250641475,98.76204625320737
Foyer_Aise,4,29,197.52409250641475,98.76204625320737
Foyer_Aise,4,30,197.52409250641475,98.76204625320737
Foyer_Aise,4,31,195.6592190455614,97.8296095227807
Foyer_Aise,4,32,216.89442958302163,108.44721479151082
Foyer_Aise,4,33,240.15055139028237,120.07527569514119
Foyer_Aise,4,34,240.15055139028237,120.07527569514119
Foyer_Aise,4,35,291.09684586920594,145.54842293460297
Foyer_Aise,4,36,327.2837220331167,163.64186101655835
Foyer_Aise,4,37,323.0136350386288,161.5068175193144
Foyer_Aise,4,38,320.8539758197277,160.42698790986384
Foyer_Aise,4,39,302.4174249337104,151.2087124668552
Foyer_Aise,4,40,342.4210850143242,171.2105425071621
Foyer_Aise,4,41,892.0344924130007,446.0172462065004
Foyer_Aise,4,42,1186.1433927453202,593.0716963726601
Foyer_Aise,4,43,943.8023358169277,471.90116790846383
Foyer_Aise,4,44,968.7924628020762,484.3962314010381
Foyer_Aise,4,45,1040.7365027384024,520.3682513692012
Foyer_Aise,4,46,905.5927058804203,452.79635294021017
Foyer_Aise,4,47,536.6326928392464,268.3163464196232
Foyer_Aise,5,0,0.0,0.0
Foyer_Aise,5,1,0.0,0.0
Foyer_Aise,5,2,0.0,0.0
Foyer_Aise,5,3,0.0008666666666666667,0.00043333333333333337
Foyer_Aise,5,4,0.001,0.0005
Foyer_Aise,5,5,0.001,0.0005
Foyer_Aise,5,6,0.001,0.0005
Foyer_Aise,5,7,0.001,0.0005
Foyer_Aise,5,8,0.001,0.0005
Foyer_Aise,5,9,46.74828298649129,23.374141493245645
Foyer_Aise,5,10,140.24284895947386,70.12142447973693
Foyer_Aise,5,11,188.79279992980028,94.39639996490014
Foyer_Aise,5,12,1153.7038563670258,576.8519281835129
Foyer_Aise,5,13,1435.1167018257163,717.5583509128581
Foyer_Aise,5,14,571.3422175068733,285.67110875343667
Foyer_Aise,5,15,453.98683542072996,226.99341771036498
Foyer_Aise,5,16,1168.0050306560568,584.0025153280284
Foyer_Aise,5,17,219.87927702760675,109.93963851380337
Foyer_Aise,5,18,338.2947059205622,169.1473529602811
Foyer_Aise,5,19,145.49985351047883,72.74992675523941
Foyer_Aise,5,20,145.49985351047883,72.74992675523941
Foyer_Aise,5,21,312.158819039967,156.0794095199835
Foyer_Aise,5,22,155.8167519441283,77.90837597206415
Foyer_Aise,5,23,182.74046238483643,91.37023119241822
Foyer_Aise,5,24,189.80890960076093,94.90445480038046
Foyer_Aise,5,25,200.98465075536302,100.49232537768151
Foyer_Aise,5,26,182.88646820666864,91.44323410333432
Foyer_Aise,5,27,190.040557463238,95.020278731619
Foyer_Aise,5,28,191.2833636261231,95.64168181306155
Foyer_Aise,5,29,202.48479649275214,101.24239824637607
Foyer_Aise,5,30,194.6259101892655,97.31295509463276
Foyer_Aise,5,31,120.3907384668437,60.19536923342185
Foyer_Aise,5,32,46.38637357230662,23.19318678615331
Foyer_Aise,5,33,53.06735145784977,26.533675728924884
Foyer_Aise,5,34,53.63951301451253,26.819756507256265
Foyer_Aise,5,35,59.982679337959915,29.991339668979958
Foyer_Aise,5,36,158.48742561028473,79.24371280514237
Foyer_Aise,5,37,170.38775027382266,85.19387513691133
Foyer_Aise,5,38,160.93109064983432,80.46554532491716
Foyer_Aise,5,39,197.56615596012247,98.78307798006124
Foyer_Aise,5,40,203.68085991101458,101.84042995550729
Foyer_Aise,5,41,384.02360852955866,192.01180426477933
Foyer_Aise,5,42,1112.545273093176,556.272636546588
Foyer_Aise,5,43,1034.7760338045828,517.3880169022914
Foyer_Aise,5,44,1051.5032980552348,525.7516490276174
Foyer_Aise,5,45,986.338644858772,493.169322429386
Foyer_Aise,5,46,897.1194793755219,448.55973968776095
Foyer_Aise,5,47,556.4192804531493,278.20964022657466
Foyer_Aise,6,0,0.001,0.0005
Foyer_Aise,6,1,0.001,0.0005
Foyer_Aise,6,2,0.001,0.0005
Foyer_Aise,6,3,0.001,0.0005
Foyer_Aise,6,4,0.001,0.0005
Foyer_Aise,6,5,0.001,0.0005
Foyer_Aise,6,6,0.001,0.0005
Foyer_Aise,6,7,0.001,0.0005
Foyer_Aise,6,8,0.001,0.0005
Foyer_Aise,6,9,0.001,0.0005
Foyer_Aise,6,10,90.35546883789797,45.17773441894899
Foyer_Aise,6,11,0.0021333333333333334,0.0010666666666666667
Foyer_Aise,6,12,1285.3984667888878,642.6992333944439
Foyer_Aise,6,13,398.00353487553696,199.00176743776848
Foyer_Aise,6,14,213.86920993396623,106.93460496698312
Foyer_Aise,6,15,1154.8920547304347,577.4460273652173
Foyer_Aise,6,16,316.56259264424295,158.28129632212148
Foyer_Aise,6,17,1044.6904473556835,522.3452236778418
Foyer_Aise,6,18,456.2428933598703,228.12144667993516
Foyer_Aise,6,19,425.8244441595623,212.91222207978115
Foyer_Aise,6,20,221.46817352519622,110.73408676259811
Foyer_Aise,6,21,143.98211059149693,71.99105529574847
Foyer_Aise,6,22,143.98211059149693,71.99105529574847
Foyer_Aise,6,23,183.14818012837978,91.57409006418989
Foyer_Aise,6,24,195.22422762551057,97.61211381275528
Foyer_Aise,6,25,191.44695828816788,95.72347914408394
Foyer_Aise,6,26,190.36338806190912,95.18169403095456
Foyer_Aise,6,27,183.93330326361638,91.96665163180819
Foyer_Aise,6,28,201.23875638427438,100.61937819213719
Foyer_Aise,6,29,244.4906786345934,122.2453393172967
